image;width;height;dataset_country;mixset_id;spain_id;germany_id;belgium_id
00006_00000.ppm;61;56;bel;1;R-1;13;19
00006_00001.ppm;95;81;bel;1;R-1;13;19
00006_00002.ppm;192;160;bel;1;R-1;13;19
00015_00000.ppm;84;75;bel;1;R-1;13;19
00015_00001.ppm;109;95;bel;1;R-1;13;19
00015_00002.ppm;134;120;bel;1;R-1;13;19
00056_00000.ppm;84;69;bel;1;R-1;13;19
00056_00001.ppm;74;63;bel;1;R-1;13;19
00056_00002.ppm;118;184;bel;1;R-1;13;19
00058_00000.ppm;99;95;bel;1;R-1;13;19
00058_00001.ppm;160;156;bel;1;R-1;13;19
00058_00002.ppm;122;117;bel;1;R-1;13;19
00066_00000.ppm;75;69;bel;1;R-1;13;19
00066_00001.ppm;124;107;bel;1;R-1;13;19
00066_00002.ppm;97;87;bel;1;R-1;13;19
00072_00000.ppm;131;129;bel;1;R-1;13;19
00072_00001.ppm;105;100;bel;1;R-1;13;19
00095_00000.ppm;192;322;bel;1;R-1;13;19
00095_00001.ppm;98;86;bel;1;R-1;13;19
00095_00002.ppm;121;104;bel;1;R-1;13;19
00096_00000.ppm;63;55;bel;1;R-1;13;19
00096_00001.ppm;70;59;bel;1;R-1;13;19
00096_00002.ppm;58;52;bel;1;R-1;13;19
00114_00000.ppm;95;86;bel;1;R-1;13;19
00114_00001.ppm;132;119;bel;1;R-1;13;19
00114_00002.ppm;176;159;bel;1;R-1;13;19
00126_00000.ppm;70;70;bel;1;R-1;13;19
00126_00001.ppm;52;68;bel;1;R-1;13;19
00126_00002.ppm;42;68;bel;1;R-1;13;19
00133_00000.ppm;100;91;bel;1;R-1;13;19
00133_00001.ppm;181;154;bel;1;R-1;13;19
00133_00002.ppm;68;61;bel;1;R-1;13;19
00146_00000.ppm;183;159;bel;1;R-1;13;19
00146_00001.ppm;87;80;bel;1;R-1;13;19
00146_00002.ppm;58;54;bel;1;R-1;13;19
00149_00000.ppm;61;56;bel;1;R-1;13;19
00149_00001.ppm;194;172;bel;1;R-1;13;19
00149_00002.ppm;95;85;bel;1;R-1;13;19
00170_00000.ppm;206;175;bel;1;R-1;13;19
00170_00001.ppm;108;96;bel;1;R-1;13;19
00170_00002.ppm;63;57;bel;1;R-1;13;19
00459_00000.ppm;296;256;bel;1;R-1;13;19
00459_00001.ppm;104;93;bel;1;R-1;13;19
00459_00002.ppm;70;62;bel;1;R-1;13;19
00610_00000.ppm;48;40;bel;1;R-1;13;19
00610_00001.ppm;48;41;bel;1;R-1;13;19
00610_00002.ppm;45;40;bel;1;R-1;13;19
00729_00000.ppm;158;262;bel;1;R-1;13;19
00729_00001.ppm;136;264;bel;1;R-1;13;19
00729_00002.ppm;116;267;bel;1;R-1;13;19
00805_00000.ppm;105;93;bel;1;R-1;13;19
00805_00001.ppm;88;82;bel;1;R-1;13;19
00805_00002.ppm;109;98;bel;1;R-1;13;19
00811_00000.ppm;207;205;bel;1;R-1;13;19
00811_00001.ppm;164;206;bel;1;R-1;13;19
00811_00002.ppm;145;199;bel;1;R-1;13;19
00816_00000.ppm;86;79;bel;1;R-1;13;19
00816_00001.ppm;82;75;bel;1;R-1;13;19
00816_00002.ppm;92;85;bel;1;R-1;13;19
00816_00003.ppm;98;91;bel;1;R-1;13;19
00841_00000.ppm;115;103;bel;1;R-1;13;19
00841_00001.ppm;129;117;bel;1;R-1;13;19
00841_00002.ppm;121;108;bel;1;R-1;13;19
00854_00000.ppm;144;128;bel;1;R-1;13;19
00854_00001.ppm;165;143;bel;1;R-1;13;19
00854_00002.ppm;153;131;bel;1;R-1;13;19
00860_00000.ppm;158;237;bel;1;R-1;13;19
00860_00001.ppm;143;238;bel;1;R-1;13;19
00860_00002.ppm;128;241;bel;1;R-1;13;19
00916_00000.ppm;117;105;bel;1;R-1;13;19
00916_00001.ppm;95;87;bel;1;R-1;13;19
00916_00002.ppm;107;98;bel;1;R-1;13;19
00918_00000.ppm;76;73;bel;1;R-1;13;19
00918_00001.ppm;94;92;bel;1;R-1;13;19
00918_00002.ppm;85;82;bel;1;R-1;13;19
00923_00000.ppm;91;202;bel;1;R-1;13;19
00923_00001.ppm;159;199;bel;1;R-1;13;19
00923_00002.ppm;129;203;bel;1;R-1;13;19
00934_00000.ppm;92;199;bel;1;R-1;13;19
00934_00001.ppm;130;203;bel;1;R-1;13;19
00934_00002.ppm;99;208;bel;1;R-1;13;19
00942_00000.ppm;96;83;bel;1;R-1;13;19
00942_00001.ppm;111;92;bel;1;R-1;13;19
00960_00000.ppm;119;107;bel;1;R-1;13;19
00960_00001.ppm;129;116;bel;1;R-1;13;19
00960_00002.ppm;141;122;bel;1;R-1;13;19
00963_00000.ppm;110;98;bel;1;R-1;13;19
00963_00001.ppm;94;85;bel;1;R-1;13;19
00963_00002.ppm;104;93;bel;1;R-1;13;19
00964_00000.ppm;73;71;bel;1;R-1;13;19
00964_00001.ppm;68;63;bel;1;R-1;13;19
00964_00002.ppm;91;86;bel;1;R-1;13;19
00967_00000.ppm;172;481;bel;1;R-1;13;19
00967_00001.ppm;204;491;bel;1;R-1;13;19
00967_00002.ppm;100;493;bel;1;R-1;13;19
00970_00000.ppm;119;131;bel;1;R-1;13;19
00970_00001.ppm;109;134;bel;1;R-1;13;19
00970_00002.ppm;63;136;bel;1;R-1;13;19
00980_00000.ppm;122;116;bel;1;R-1;13;19
00980_00001.ppm;139;130;bel;1;R-1;13;19
00980_00002.ppm;73;68;bel;1;R-1;13;19
00981_00000.ppm;52;47;bel;1;R-1;13;19
00981_00001.ppm;54;48;bel;1;R-1;13;19
00981_00002.ppm;53;47;bel;1;R-1;13;19
00982_00000.ppm;87;82;bel;1;R-1;13;19
00982_00001.ppm;118;103;bel;1;R-1;13;19
00982_00002.ppm;97;88;bel;1;R-1;13;19
00983_00000.ppm;59;55;bel;1;R-1;13;19
00983_00001.ppm;57;50;bel;1;R-1;13;19
00983_00002.ppm;71;59;bel;1;R-1;13;19
01001_00000.ppm;164;154;bel;1;R-1;13;19
01001_00001.ppm;128;121;bel;1;R-1;13;19
01001_00002.ppm;146;141;bel;1;R-1;13;19
01010_00000.ppm;93;79;bel;1;R-1;13;19
